parliament,date,name,url,ayes,noes,ayes_noscotland,noes_noscotland,different
2017,03-Jul-18,Main Estimates 2018-19 — Treasury,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=201&display=allvotes,241,35,229,5,FALSE
2017,03-Jul-18,Main Estimates 2018-19 — Department for Education,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=200&display=allvotes,300,35,288,5,FALSE
2017,03-Jul-18,"Main Estimates 2018-19 — Department of Health and Social Care and Ministry of Housing, Communities and Local Government",http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=199&display=allvotes,309,35,297,5,FALSE
2017,03-Jul-18,Main Estimates 2018-19 — Ministry of Justice,http://www.publicwhip.org.uk/division.php?date=2018-07-03&house=commons&number=198&display=allvotes,314,34,302,5,FALSE
2017,27-Jun-18,Regulation of Nursing Associates,http://www.publicwhip.org.uk/division.php?date=2018-06-27&house=commons&number=197&display=allvotes,465,2,449,2,FALSE
2017,26-Jun-18,Haulage Permits and Trailer Registration Bill [Lords] (Programme) (No. 2),http://www.publicwhip.org.uk/division.php?date=2018-06-26&house=commons&number=196&display=allvotes,275,170,262,145,FALSE
2017,26-Jun-18,Automated and Electric Vehicles Bill (Programme),http://www.publicwhip.org.uk/division.php?date=2018-06-26&house=commons&number=195&display=allvotes,290,183,277,150,FALSE
2017,26-Jun-18,EU-Japan Economic Partnership Agreement,http://www.publicwhip.org.uk/division.php?date=2018-06-26&house=commons&number=194&display=allvotes,319,3,302,3,FALSE
2017,26-Jun-18,Draft European Union (Definition of Treaties) (Canada Trade Agreement) Order 2018,http://www.publicwhip.org.uk/division.php?date=2018-06-26&house=commons&number=193&display=allvotes,317,38,301,9,FALSE
2017,25-Jun-18,National Policy Statement: Airports — Heathrow Northwest Runway,http://www.publicwhip.org.uk/division.php?date=2018-06-25&house=commons&number=192&display=allvotes,417,121,403,114,FALSE
2017,20-Jun-18,European Union (Withdrawal) Bill — Approval by MPs of Government Plans in the Eventuality MPs Reject a Withdrawal Agreement or an Agreement is not Reached,http://www.publicwhip.org.uk/division.php?date=2018-06-20&house=commons&number=191&display=allvotes,306,321,260,308,FALSE
2017,19-Jun-18,Parliamentary Constituencies (Amendment) Bill — Committee Stage — Approval of Public Spending,http://www.publicwhip.org.uk/division.php?date=2018-06-19&house=commons&number=190&display=allvotes,286,301,244,288,FALSE
2017,19-Jun-18,Confidence in Chris Grayling MP as Secretary of State for Transport,http://www.publicwhip.org.uk/division.php?date=2018-06-19&house=commons&number=189&display=allvotes,287,307,246,294,FALSE
2017,18-Jun-18,Sewel Convention — Convention that the UK Parliament Does Not Normally Legislate on Matters Devolved to the Scottish Parliament,http://www.publicwhip.org.uk/division.php?date=2018-06-18&house=commons&number=188&display=allvotes,90,53,79,15,FALSE
2017,15-Jun-18,Mental Health Units (Use of Force) Bill — Training in Appropriate Use of Force — Awareness of Acute Behavioural Disturbance,http://www.publicwhip.org.uk/division.php?date=2018-06-15&house=commons&number=187&display=allvotes,5,51,5,51,FALSE
2017,15-Jun-18,Mental Health Units (Use of Force) Bill — Training in Appropriate Use of Force — Role of the Police,http://www.publicwhip.org.uk/division.php?date=2018-06-15&house=commons&number=186&display=allvotes,10,49,10,49,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — New Clause — Maintenance of EU Environmental Principles and Standards,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=185&display=allvotes,322,298,309,254,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — New Clause — Enhanced Protection for Certain Areas of EU Law,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=184&display=allvotes,320,303,307,259,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Schedule 1 — Retention of General Principles of EU Law,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=183&display=allvotes,322,299,309,255,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Clause 5 — EU Charter of Fundamental Rights,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=182&display=allvotes,322,303,309,259,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Clause 1 — Make Withdrawal Conditional on Statement on Negotiations to Retain UK Participation in EU Customs Union,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=181&display=allvotes,328,298,315,254,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Clause 1 — Make Withdrawal Conditional on Unspecified Condition,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=180&display=allvotes,327,300,314,256,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Seek Participation in European Economic Area via EU Withdrawal Agreement Negotiations,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=179&display=allvotes,327,129,314,89,FALSE
2017,13-Jun-18,European Union (Withdrawal) Bill — Clause 19 — Seek Full Access to European Union Internal Market via Withdrawal Agreement Negotiations,http://www.publicwhip.org.uk/division.php?date=2018-06-13&house=commons&number=178&display=allvotes,242,324,235,311,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Powers of Devolved Administrations,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=177&display=allvotes,323,42,310,7,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 9 — Powers of Ministers — Parliamentary Approval of Mandate for Negiotiations — Implementation of Withdrawal Agreement,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=176&display=allvotes,323,307,310,261,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 17 — Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=175&display=allvotes,319,308,306,262,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 17 — Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=174&display=allvotes,324,308,311,262,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 7 — Dealing with Deficiencies Arising from Withdrawal — Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=173&display=allvotes,322,307,309,261,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Schedule 1 — Challenges to Retained European Union Law,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=172&display=allvotes,328,303,315,257,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — New Clause — Parliamentary Approval of the Outcome of Negotiations with the European Union,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=171&display=allvotes,326,300,313,254,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Schedule 7 — Parliamentary Approval of Theoretical Regulations to Set the Exit Date,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=170&display=allvotes,330,299,317,254,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 14 — Interpretation — Power of Ministers to Set Exit Day,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=169&display=allvotes,326,305,313,259,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Clause 14 — Interpretation — Power of Ministers to Set Exit Day,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=168&display=allvotes,328,303,315,257,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Schedule 7 — Paragraph 13 — Scrutiny of Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=167&display=allvotes,327,306,314,260,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Schedule 7 — Part I — Scrutiny of Powers of Ministers,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=166&display=allvotes,326,304,313,258,FALSE
2017,12-Jun-18,European Union (Withdrawal) Bill — Programme — Consideration of Lords Amendments,http://www.publicwhip.org.uk/division.php?date=2018-06-12&house=commons&number=165&display=allvotes,323,305,310,259,FALSE
2017,23-May-18,"Proposal for Single Tier of Local Government in Bournemouth, Dorset and Poole — Invitation from the Secretary of State",http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=162&display=allvotes,294,19,282,17,FALSE
2017,23-May-18,"Establishment of New Unitary Councils — Dorset Council — Bournemouth, Christchurch and Poole Council",http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=161&display=allvotes,293,19,281,17,FALSE
2017,23-May-18,Establishment of Somerset West and Taunton District Council,http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=160&display=allvotes,298,17,286,15,FALSE
2017,23-May-18,Boundary Changes — West Somerset District Council and Taunton Deane Borough Council — Review by Local Government Boundary Commission,http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=159&display=allvotes,298,17,286,15,FALSE
2017,23-May-18,NHS Reforms — Provision of Papers to Health and Social Care Committee,http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=164&display=allvotes,233,297,224,285,FALSE
2017,23-May-18,Secretary of State for Transport — Censure — Salary Reduction — East Coast Franchise,http://www.publicwhip.org.uk/division.php?date=2018-05-23&house=commons&number=163&display=allvotes,273,306,240,294,FALSE
2017,16-May-18,Publication of Papers relating to the Government's Preferred Customs Arrangements on Withdrawal From the European Union,http://www.publicwhip.org.uk/division.php?date=2018-05-16&house=commons&number=158&display=allvotes,271,304,232,292,FALSE
2017,15-May-18,"Data Protection Bill — Inquiry, Reviews and Regulation — Media Organisations — Journalism",http://www.publicwhip.org.uk/division.php?date=2018-05-15&house=commons&number=157&display=allvotes,303,291,290,246,FALSE
2017,09-May-18,"NHS Bursaries — Student Loans — Nursing, Midwifery, Allied Health Professions and Dental Profession Subjects",http://www.publicwhip.org.uk/division.php?date=2018-05-09&house=commons&number=156&display=allvotes,236,297,227,284,FALSE
2017,09-May-18,Data Protection Bill — Information Held for the Purposes of Maintaining Effective Immigration Control,http://www.publicwhip.org.uk/division.php?date=2018-05-09&house=commons&number=155&display=allvotes,284,312,244,299,FALSE
